,,Name,"Profile ID",Date,Likes,Comment,"Comment ID","(view source)"
91,,stefifig,196943817,"2021-09-06 20:30:08",0,@carlosymarianella,17888257847395699,https://www.instagram.com/p/CTdkvFPoVZ3/c/17888257847395699
92,,stefifig,196943817,"2021-09-06 20:30:13",0,@sofiamr89,17928038368740969,https://www.instagram.com/p/CTdkvFPoVZ3/c/17928038368740969
93,,stefifig,196943817,"2021-09-06 20:30:27",0,@edithpaiz,17917269484925786,https://www.instagram.com/p/CTdkvFPoVZ3/c/17917269484925786
94,,stefifig,196943817,"2021-09-06 20:30:33",0,@mofilu,17929074931697338,https://www.instagram.com/p/CTdkvFPoVZ3/c/17929074931697338
95,,stefifig,196943817,"2021-09-06 20:30:47",0,@anamariasosa,17937787570567071,https://www.instagram.com/p/CTdkvFPoVZ3/c/17937787570567071
96,,stefifig,196943817,"2021-09-06 20:30:51",1,@jmnsoto,17886670691510135,https://www.instagram.com/p/CTdkvFPoVZ3/c/17886670691510135
97,,ximejansa,22750506,"2021-09-06 20:30:59",0,@nicoanckermann,17987236759379104,https://www.instagram.com/p/CTdkvFPoVZ3/c/17987236759379104
98,,ximejansa,22750506,"2021-09-06 20:31:03",0,@paulinamatzer,17921237047869695,https://www.instagram.com/p/CTdkvFPoVZ3/c/17921237047869695
99,,pauarriaza,194208100,"2021-09-06 20:31:04",0,"@majolz ❤️",17913978178967391,https://www.instagram.com/p/CTdkvFPoVZ3/c/17913978178967391
100,,ximejansa,22750506,"2021-09-06 20:31:07",0,@merdmenger,18191917588188773,https://www.instagram.com/p/CTdkvFPoVZ3/c/18191917588188773
